Title,Artist,Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Uploaded Image URL,Activities
活着,郝云,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:54:39.521875977,,,,,,,,人生,0,,
九儿,谭晶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:57:42.192929029,,,,,,,,,0,,
九月九的酒,陈少华,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:35:48.606093049,,,,,,,,,0,,
卡路里,火箭少女101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:48:51.785218954,,,,,,,,,0,,
蓝莲花,许巍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:39:39.452862977,,,,,,,,,0,,
浪子回头,茄子蛋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:56:16.477645993,,,,,,,,人生,0,,
老师你好,in3 阴三儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:56:03.329563021,,,,,,,,讽刺,0,,
老子明天不上班,谢帝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 02:10:16.337875962,,,,,,,,讽刺,0,,
离歌,信乐团,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:38:55.736572980,,,,,,,,爱情,0,,
旅行,许巍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:39:51.678946971,,,,,,,,,0,,
轮回,杭盖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:55:24.439699053,,,,,,,,,0,,
每个人都看到了希望,筷子兄弟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:50:28.265730023,,,,,,,,人生,0,,
门,好妹妹乐队,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 21:00:52.150164008,,,,,,,,,0,,
明天，你好,牛奶咖啡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:15:33.827200055,,,,,,,,人生,0,,
难念的经,周华健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 21:01:07.599097967,,,,,,,,,0,,
你的答案,阿冗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:49:12.869400024,,,,,,,,,0,,
